SET 1
TEST 1:
Backtracking(alpha) 453 0.0007
CP(alpha) 453 0.0163
IP(alpha) 453 0.0545
Backtracking(eps) 357 0.0005
CP(eps) 357 0.0057
IP(eps) 357 0.0274
Spectral 393 0.0222
Greedy(500) 453 0.0184
Greedy(1000) 453 0.0356
GreedyKL 453 0.0001
TEST 2:
Backtracking(alpha) 423 0.0004
CP(alpha) 423 0.0064
IP(alpha) 423 0.0211
Backtracking(eps) 423 0.0003
CP(eps) 423 0.0062
IP(eps) 423 0.0336
Spectral 423 0.0036
Greedy(500) 423 0.0183
Greedy(1000) 423 0.0367
GreedyKL 423 0.0001
TEST 3:
Backtracking(alpha) 323 0.0006
CP(alpha) 323 0.007
IP(alpha) 323 0.0405
Backtracking(eps) 323 0.0005
CP(eps) 323 0.0063
IP(eps) 323 0.0405
Spectral 296 0.0053
Greedy(500) 323 0.0179
Greedy(1000) 323 0.0361
GreedyKL 373 0.0001
TEST 4:
Backtracking(alpha) 393 0.0005
CP(alpha) 393 0.0066
IP(alpha) 393 0.044
Backtracking(eps) 335 0.0003
CP(eps) 335 0.0058
IP(eps) 335 0.0349
Spectral 393 0.0044
Greedy(500) 393 0.018
Greedy(1000) 393 0.036
GreedyKL 393 0.0001
TEST 5:
Backtracking(alpha) 328 0.0006
CP(alpha) 328 0.0064
IP(alpha) 328 0.043
Backtracking(eps) 282 0.0004
CP(eps) 282 0.0056
IP(eps) 282 0.0329
Spectral 395 0.0033
Greedy(500) 328 0.0178
Greedy(1000) 328 0.0356
GreedyKL 328 0.0001
TEST 6:
Backtracking(alpha) 510 0.0006
CP(alpha) 510 0.0067
IP(alpha) 510 0.0389
Backtracking(eps) 423 0.0003
CP(eps) 423 0.0059
IP(eps) 423 0.0291
Spectral 423 0.0032
Greedy(500) 510 0.0179
Greedy(1000) 510 0.0357
GreedyKL 510 0.0001
TEST 7:
Backtracking(alpha) 539 0.0007
CP(alpha) 539 0.0067
IP(alpha) 539 0.0372
Backtracking(eps) 429 0.0005
CP(eps) 429 0.0057
IP(eps) 429 0.0311
Spectral 566 0.0042
Greedy(500) 539 0.0181
Greedy(1000) 539 0.0365
GreedyKL 566 0.0001
TEST 8:
Backtracking(alpha) 369 0.0003
CP(alpha) 369 0.0065
IP(alpha) 369 0.0346
Backtracking(eps) 349 0.0002
CP(eps) 349 0.0058
IP(eps) 349 0.0273
Spectral 369 0.0048
Greedy(500) 369 0.0182
Greedy(1000) 369 0.0367
GreedyKL 369 0.0001
TEST 9:
Backtracking(alpha) 371 0.0005
CP(alpha) 371 0.0062
IP(alpha) 371 0.0363
Backtracking(eps) 297 0.0004
CP(eps) 297 0.0058
IP(eps) 297 0.025
Spectral 254 0.003
Greedy(500) 371 0.0178
Greedy(1000) 371 0.0357
GreedyKL 371 0.0001
TEST 10:
Backtracking(alpha) 346 0.0005
CP(alpha) 346 0.0063
IP(alpha) 346 0.0431
Backtracking(eps) 346 0.0003
CP(eps) 346 0.0059
IP(eps) 346 0.0377
Spectral 352 0.0028
Greedy(500) 346 0.0181
Greedy(1000) 346 0.0363
GreedyKL 346 0.0001
TEST 11:
Backtracking(alpha) 368 0.0005
CP(alpha) 368 0.0063
IP(alpha) 368 0.0367
Backtracking(eps) 324 0.0004
