TEST,1:,
Backtracking(alpha),453,0.0007
CP(alpha),453,0.0163
IP(alpha),453,0.0545
Backtracking(eps),357,0.0005
CP(eps),357,0.0057
IP(eps),357,0.0274
Spectral,393,0.0222
Greedy(500),453,0.0184
Greedy(1000),453,0.0356
GreedyKL,453,0.0001
TEST,2:,
Backtracking(alpha),423,0.0004
CP(alpha),423,0.0064
IP(alpha),423,0.0211
Backtracking(eps),423,0.0003
CP(eps),423,0.0062
IP(eps),423,0.0336
Spectral,423,0.0036
Greedy(500),423,0.0183
Greedy(1000),423,0.0367
GreedyKL,423,0.0001
TEST,3:,
Backtracking(alpha),323,0.0006
CP(alpha),323,0.007
IP(alpha),323,0.0405
Backtracking(eps),323,0.0005
CP(eps),323,0.0063
IP(eps),323,0.0405
Spectral,296,0.0053
Greedy(500),323,0.0179
Greedy(1000),323,0.0361
GreedyKL,373,0.0001
TEST,4:,
Backtracking(alpha),393,0.0005
CP(alpha),393,0.0066
IP(alpha),393,0.044
Backtracking(eps),335,0.0003
CP(eps),335,0.0058
IP(eps),335,0.0349
Spectral,393,0.0044
Greedy(500),393,0.018
Greedy(1000),393,0.036
GreedyKL,393,0.0001
TEST,5:,
Backtracking(alpha),328,0.0006
CP(alpha),328,0.0064
IP(alpha),328,0.043
Backtracking(eps),282,0.0004
CP(eps),282,0.0056
IP(eps),282,0.0329
Spectral,395,0.0033
Greedy(500),328,0.0178
Greedy(1000),328,0.0356
GreedyKL,328,0.0001
TEST,6:,
Backtracking(alpha),510,0.0006
CP(alpha),510,0.0067
IP(alpha),510,0.0389
Backtracking(eps),423,0.0003
CP(eps),423,0.0059
IP(eps),423,0.0291
Spectral,423,0.0032
Greedy(500),510,0.0179
Greedy(1000),510,0.0357
GreedyKL,510,0.0001
TEST,7:,
Backtracking(alpha),539,0.0007
CP(alpha),539,0.0067
IP(alpha),539,0.0372
Backtracking(eps),429,0.0005
CP(eps),429,0.0057
IP(eps),429,0.0311
Spectral,566,0.0042
Greedy(500),539,0.0181
Greedy(1000),539,0.0365
GreedyKL,566,0.0001
TEST,8:,
Backtracking(alpha),369,0.0003
CP(alpha),369,0.0065
IP(alpha),369,0.0346
Backtracking(eps),349,0.0002
CP(eps),349,0.0058
IP(eps),349,0.0273
Spectral,369,0.0048
Greedy(500),369,0.0182
Greedy(1000),369,0.0367
GreedyKL,369,0.0001
TEST,9:,
Backtracking(alpha),371,0.0005
CP(alpha),371,0.0062
IP(alpha),371,0.0363
Backtracking(eps),297,0.0004
CP(eps),297,0.0058
IP(eps),297,0.025
Spectral,254,0.003
Greedy(500),371,0.0178
Greedy(1000),371,0.0357
GreedyKL,371,0.0001
TEST,10:,
Backtracking(alpha),346,0.0005
CP(alpha),346,0.0063
IP(alpha),346,0.0431
Backtracking(eps),346,0.0003
CP(eps),346,0.0059
IP(eps),346,0.0377
Spectral,352,0.0028
Greedy(500),346,0.0181
Greedy(1000),346,0.0363
GreedyKL,346,0.0001
TEST,11:,
Backtracking(alpha),368,0.0005
CP(alpha),368,0.0063
IP(alpha),368,0.0367
Backtracking(eps),324,0.0004
CP(eps),324,0.0058
IP(eps),324,0.0168
Spectral,368,0.0053
Greedy(500),368,0.0179
Greedy(1000),368,0.0357
GreedyKL,368,0.0001
TEST,12:,
Backtracking(alpha),452,0.0006
CP(alpha),452,0.0066
IP(alpha),452,0.0358
Backtracking(eps),452,0.0005
CP(eps),452,0.0057
IP(eps),452,0.0407
Spectral,452,0.0052
Greedy(500),452,0.0182
Greedy(1000),452,0.0362
GreedyKL,452,0.0001
TEST,13:,
Backtracking(alpha),371,0.0006
CP(alpha),371,0.0065
IP(alpha),371,0.0328
Backtracking(eps),371,0.0005
CP(eps),371,0.006
IP(eps),371,0.0252
Spectral,371,0.0044
Greedy(500),371,0.018
Greedy(1000),371,0.0356
GreedyKL,371,0.0001
TEST,14:,
Backtracking(alpha),439,0.0006
CP(alpha),439,0.0072
IP(alpha),439,0.0386
Backtracking(eps),345,0.0004
CP(eps),345,0.0057
IP(eps),345,0.0274
Spectral,320,0.0043
Greedy(500),439,0.018
Greedy(1000),439,0.0358
GreedyKL,441,0.0001
TEST,15:,
Backtracking(alpha),366,0.0006
CP(alpha),366,0.0056
IP(alpha),366,0.0414
Backtracking(eps),264,0.0005
CP(eps),264,0.0058
IP(eps),264,0.0319
Spectral,264,0.0036
Greedy(500),366,0.0178
Greedy(1000),366,0.0356
GreedyKL,366,0.0001
TEST,16:,
Backtracking(alpha),461,0.0005
CP(alpha),461,0.0063
IP(alpha),461,0.0408
Backtracking(eps),458,0.0003
CP(eps),458,0.0061
IP(eps),458,0.0318
Spectral,461,0.0043
Greedy(500),461,0.0181
Greedy(1000),461,0.0357
GreedyKL,461,0.0001
TEST,17:,
Backtracking(alpha),463,0.0007
CP(alpha),463,0.0065
IP(alpha),463,0.0479
Backtracking(eps),367,0.0005
CP(eps),367,0.0057
IP(eps),367,0.0382
Spectral,292,0.0039
Greedy(500),463,0.018
Greedy(1000),463,0.0371
GreedyKL,463,0.0001
TEST,18:,
Backtracking(alpha),392,0.0003
CP(alpha),392,0.0065
IP(alpha),392,0.0437
Backtracking(eps),333,0.0003
CP(eps),333,0.0058
IP(eps),333,0.0329
Spectral,333,0.0027
Greedy(500),392,0.0179
Greedy(1000),392,0.0361
GreedyKL,392,0.0001
TEST,19:,
Backtracking(alpha),452,0.0005
CP(alpha),452,0.0066
IP(alpha),452,0.0361
Backtracking(eps),403,0.0004
CP(eps),403,0.0061
IP(eps),403,0.0254
Spectral,452,0.0037
Greedy(500),452,0.018
Greedy(1000),452,0.0356
GreedyKL,452,0.0001
TEST,20:,
Backtracking(alpha),326,0.0003
CP(alpha),326,0.0066
IP(alpha),326,0.0386
Backtracking(eps),301,0.0002
CP(eps),301,0.0059
IP(eps),301,0.0298
Spectral,301,0.0033
Greedy(500),326,0.018
Greedy(1000),326,0.0358
GreedyKL,326,0.0001
