TEST,1:
CP(alpha),16157,10.0724
IP(alpha),17825,10.0322
CP(eps),15734,10.0681
IP(eps),18265,10.0345
Spectral,13323,0.0063
Greedy(500),17554,1.4536
Greedy(1000),17463,2.8513
GreedyKL,15704,0.0057
TEST,2:
CP(alpha),15209,10.0725
IP(alpha),18046,10.0341
CP(eps),14733,10.0713
IP(eps),17383,10.0337
Spectral,14982,0.0058
Greedy(500),17141,1.4486
Greedy(1000),16591,2.855
GreedyKL,15085,0.0066
TEST,3:
CP(alpha),14833,10.0729
IP(alpha),16010,10.0331
CP(eps),14663,10.0722
IP(eps),16892,10.0293
Spectral,15275,0.0046
Greedy(500),16937,1.4883
Greedy(1000),16484,2.9504
GreedyKL,14983,0.0048
TEST,4:
CP(alpha),15550,10.0711
IP(alpha),17647,10.0336
CP(eps),14902,10.0891
IP(eps),16389,10.0423
Spectral,13774,0.0056
Greedy(500),16733,1.4962
Greedy(1000),16577,2.8984
GreedyKL,14966,0.0075
TEST,5:
CP(alpha),15670,10.0701
IP(alpha),17299,10.0342
CP(eps),15307,10.073
IP(eps),16867,10.0339
Spectral,12654,0.0057
Greedy(500),16613,1.479
Greedy(1000),16884,2.9648
GreedyKL,15615,0.0068
TEST,6:
CP(alpha),15138,10.0711
IP(alpha),16679,10.0348
CP(eps),15024,10.0739
IP(eps),16721,10.0352
Spectral,15044,0.0059
Greedy(500),16695,1.4855
Greedy(1000),16478,2.9743
GreedyKL,15269,0.0057
TEST,7:
CP(alpha),15879,10.071
IP(alpha),17455,10.0365
CP(eps),16006,10.0708
IP(eps),18249,10.0348
Spectral,15616,0.0073
Greedy(500),17314,1.5318
Greedy(1000),17105,2.9316
GreedyKL,16177,0.0059
TEST,8:
CP(alpha),15238,10.0733
IP(alpha),18268,10.0378
CP(eps),15021,10.0779
IP(eps),17180,10.0333
Spectral,9632,0.0055
Greedy(500),17049,1.4698
Greedy(1000),16901,2.9782
GreedyKL,14993,0.0059
TEST,9:
CP(alpha),15359,10.0716
IP(alpha),16838,10.0363
CP(eps),15258,10.0705
IP(eps),18239,10.0394
Spectral,15354,0.0097
Greedy(500),16987,1.5649
Greedy(1000),16751,2.8999
GreedyKL,15122,0.0057
TEST,10:
CP(alpha),15193,10.0727
IP(alpha),17915,10.0333
CP(eps),15249,10.0739
IP(eps),17457,10.0315
Spectral,15702,0.0052
Greedy(500),17222,1.4792
Greedy(1000),16458,2.904
GreedyKL,15193,0.0079
TEST,11:
CP(alpha),15363,10.0727
IP(alpha),17758,10.0371
CP(eps),15368,10.0721
IP(eps),17037,10.0339
Spectral,15587,0.005
Greedy(500),17490,1.4568
Greedy(1000),17190,2.931
GreedyKL,15363,0.0066
TEST,12:
CP(alpha),15659,10.0887
IP(alpha),18065,10.0353
CP(eps),15597,10.0718
IP(eps),16736,10.0364
Spectral,15853,0.0061
Greedy(500),17223,1.4804
Greedy(1000),17224,2.8972
GreedyKL,15598,0.0065
TEST,13:
CP(alpha),16006,10.0762
IP(alpha),19188,10.037
CP(eps),15152,36.2688
IP(eps),17181,10.0647
Spectral,14648,0.0063
Greedy(500),17601,1.4451
Greedy(1000),17247,3.0185
GreedyKL,15576,0.0056
TEST,14:
CP(alpha),15278,10.0726
IP(alpha),17404,10.0283
CP(eps),15249,10.0762
IP(eps),17109,10.0339
Spectral,13074,0.0059
Greedy(500),17541,1.4567
Greedy(1000),16975,2.9063
GreedyKL,15143,0.0056
TEST,15:
CP(alpha),16001,10.0721
IP(alpha),17288,10.036
CP(eps),15903,10.0717
IP(eps),16747,10.0322
Spectral,15465,0.0053
Greedy(500),17120,1.4989
Greedy(1000),17179,2.8938
GreedyKL,15652,0.0065
TEST,16:
CP(alpha),15827,10.071
IP(alpha),17806,10.0329
CP(eps),15237,10.0778
IP(eps),16643,10.0355
Spectral,13794,0.006
Greedy(500),17279,1.5104
Greedy(1000),16759,2.9586
GreedyKL,15424,0.0056
TEST,17:
CP(alpha),14962,10.073
IP(alpha),17585,10.0363
CP(eps),14879,10.0729
IP(eps),16060,10.0331
Spectral,14616,0.0078
Greedy(500),17068,1.5251
Greedy(1000),16781,2.8621
GreedyKL,14968,0.0057
TEST,18:
CP(alpha),15373,10.0716
IP(alpha),16365,10.0341
CP(eps),15074,10.0742
IP(eps),18048,10.0326
Spectral,15132,0.0041
Greedy(500),16788,1.4552
Greedy(1000),16650,2.8686
GreedyKL,15012,0.0067
TEST,19:
CP(alpha),15537,10.0729
IP(alpha),18032,10.0343
CP(eps),15239,10.0728
IP(eps),17914,10.0343
Spectral,14451,0.0071
Greedy(500),16780,1.4969
Greedy(1000),17235,2.9666
GreedyKL,15418,0.0065
TEST,20:
CP(alpha),15410,10.0733
IP(alpha),17521,10.0376
CP(eps),15228,10.0721
IP(eps),18143,10.0364
Spectral,14647,0.0059
Greedy(500),17153,1.5129
Greedy(1000),16869,2.8791
GreedyKL,15336,0.0068
